n,F/P,P/F,A/F,A/P,F/A,P/A,A/G,P/G,n_1,interest_rate
1.0,1.003,0.9975,1.0,1.0025,1.0,0.998,0.0,0.0,1.0,0.25
2.0,1.005,0.995,0.4994,0.5019,2.003,1.993,0.504,1.005,2.0,0.25
3.0,1.008,0.9925,0.3325,0.335,3.008,2.985,1.005,2.999,3.0,0.25
4.0,1.01,0.9901,0.2491,0.2516,4.015,3.975,1.501,5.966,4.0,0.25
5.0,1.013,0.9876,0.199,0.2015,5.025,4.963,1.998,9.916,5.0,0.25
6.0,1.015,0.9851,0.1656,0.1681,6.038,5.948,2.498,14.861,6.0,0.25
7.0,1.018,0.9827,0.1418,0.1443,7.053,6.931,2.995,20.755,7.0,0.25
8.0,1.02,0.9802,0.1239,0.1264,8.07,7.911,3.49,27.611,8.0,0.25
9.0,1.023,0.9778,0.11,0.1125,9.091,8.889,3.987,35.44,9.0,0.25
10.0,1.025,0.9753,0.0989,0.1014,10.113,9.864,4.483,44.216,10.0,0.25
11.0,1.028,0.9729,0.0898,0.0923,11.139,10.837,4.978,53.95,11.0,0.25
12.0,1.03,0.9705,0.0822,0.0847,12.167,11.807,5.474,64.634,12.0,0.25
13.0,1.033,0.9681,0.0758,0.0783,13.197,12.775,5.968,76.244,13.0,0.25
14.0,1.036,0.9656,0.0703,0.0728,14.23,13.741,6.464,88.826,14.0,0.25
15.0,1.038,0.9632,0.0655,0.068,15.266,14.704,6.957,102.301,15.0,0.25
16.0,1.041,0.9608,0.0613,0.0638,16.304,15.665,7.451,116.716,16.0,0.25
17.0,1.043,0.9584,0.0577,0.0602,17.344,16.624,7.944,132.063,17.0,0.25
18.0,1.046,0.9561,0.0544,0.0569,18.388,17.58,8.437,148.319,18.0,0.25
19.0,1.049,0.9537,0.0515,0.054,19.434,18.533,8.929,165.492,19.0,0.25
20.0,1.051,0.9513,0.0488,0.0513,20.482,19.485,9.421,183.559,20.0,0.25
21.0,1.054,0.9489,0.0464,0.0489,21.534,20.434,9.912,202.531,21.0,0.25
22.0,1.056,0.9465,0.0443,0.0468,22.587,21.38,10.404,222.435,22.0,0.25
23.0,1.059,0.9442,0.0423,0.0448,23.644,22.324,10.894,243.212,23.0,0.25
24.0,1.062,0.9418,0.0405,0.043,24.703,23.266,11.384,264.854,24.0,0.25
25.0,1.064,0.9395,0.0388,0.0413,25.765,24.206,11.874,287.407,25.0,0.25
26.0,1.067,0.9371,0.0373,0.0398,26.829,25.143,12.363,310.848,26.0,0.25
